model_name,fold,accuracy,macro_precision,macro_recall,macro_f1,timestamp
mBERT_baseline,1,0.706667,0.713956,0.706667,0.700533,2026-09-21T11:37:39.223799
MuRIL_baseline,1,0.698333,0.723676,0.698333,0.697994,2026-09-21T11:49:32.908672
mBERT_adapted,1,0.721667,0.725672,0.721667,0.71641,2026-09-21T11:51:13.755715
mBERT_baseline,2,0.705,0.706009,0.705,0.704285,2026-09-21T11:52:59.724939
MuRIL_baseline,2,0.69,0.705271,0.69,0.690663,2026-09-21T12:00:47.096772
mBERT_adapted,2,0.723333,0.726129,0.723333,0.723335,2026-09-21T12:02:33.212626
mBERT_baseline,3,0.715,0.715169,0.715,0.714643,2026-09-21T12:04:40.179907
MuRIL_baseline,3,0.725,0.742733,0.725,0.725153,2026-09-21T12:12:21.631344
mBERT_adapted,3,0.691667,0.694632,0.691667,0.691457,2026-09-21T12:14:34.195705
mBERT_baseline,4,0.708333,0.713495,0.708333,0.705137,2026-09-21T12:16:27.149015
MuRIL_baseline,4,0.698333,0.726741,0.698333,0.696291,2026-09-21T12:23:25.764001
mBERT_adapted,4,0.713333,0.713517,0.713333,0.712167,2026-09-21T12:25:26.239416
mBERT_baseline,5,0.73,0.730366,0.73,0.729751,2026-09-21T12:27:23.372586
MuRIL_baseline,5,0.698333,0.71264,0.698333,0.692798,2026-09-21T12:35:40.325336
mBERT_adapted,5,0.72,0.720656,0.72,0.719503,2026-09-21T12:38:05.459622
