text,sentiment_label,cmi_score,gujarati_token_count,english_token_count,hindi_token_count,my_label,my_notes
❤ tum donon shaadi kar lo please,neutral,16.67,0,5,1,,
Tooooooo much cuts bhai... Tooooo much CUTS... I guess I was here for the gameplay.😅,positive,6.67,0,14,1,,
Bollywood ma tamara song Kem nathi aavta,negative,42.86,3,4,0,,
Wow..what a talent..aabhar team TCF for bringing him.. Ahmedabad ma next shows kyare avse? Attended Vikram Rathor show live.. can't wait for the next show and sit beside Ishan Real Estate 😂😂,neutral,5.88,1,32,1,,
Maja aavi gai bhai 🦚🦚Jay ho 🙏,neutral,16.67,0,5,1,,
Jsk. સારિકા ben પાસેથી શીખવા મળે છે k life ma koi pan. સિચ્યુએશન hoi to pan life ne enjoy karve જોઈએ....jd bhai n.sarikeben maching kryu chhe kapda nu blue colour...,positive,28.12,9,23,0,,
bhavin please bta do ki apka first vlog kab ayega please,neutral,9.09,0,10,1,,
Sarika ne thodo aaram to karavo full day kaam j karti hoi baki na su kare aur kaamvali rakho,negative,10.53,2,17,0,,
Kevi rite editing karvu plzz help karo,neutral,14.29,1,6,0,,
plzz masi ne hindi ma bolva mate force na karo... a hindi gujarati bole chhe to bv cute laage chhe😂😂😂😂😂,neutral,15.0,3,17,0,,
Rashmi Ko Dekh Kar Siddharth Shukla Ki Yaad Aa Jaati Hai 😢,negative,9.09,0,10,1,,
Papa dhar par aye to bahot comedy thay che nice 👍 video,positive,9.09,1,10,0,,
Bhut khub bhai,positive,33.33,1,2,0,,
He is the cutest 🥺🥺😍,positive,25.0,0,3,1,,
"અલા 🎤 નું બજેટ વધારો ૧૦૦+ એપિસોડ્સ એન્ડ ૧M સબ્સ્ક્રાઇબર્સ થયા છે હવે તમને લોકો ને બી સારું લાગસે બે હાથ ફ્રી રહેસે તો 

😂😂😂 Congratulations for 1M! 🎉🎉🎉 Praying for 10M and more 🎊🎊🎊",positive,28.12,23,9,0,,
Mumbai main bhi 350/- kilo milti hai Lichi....,neutral,14.29,0,6,1,,
