metric,value
total_rows_raw,21729
total_rows_after_filter,21359
filter_retention_pct,98.30%
filter_multiplier_used,1.5
class_positive_count,12546
class_positive_pct,58.74%
class_neutral_count,7496
class_neutral_pct,35.10%
class_negative_count,1317
class_negative_pct,6.17%
avg_word_count,17.88
median_word_count,12.00
min_word_count,1
max_word_count,318
avg_cmi_score,15.8491
median_cmi_score,13.3300
min_cmi_score,0.0000
max_cmi_score,66.6700
avg_gujarati_tokens_per_sentence,2.09
avg_english_tokens_per_sentence,14.64
avg_hindi_tokens_per_sentence,0.70
gujarati_token_share_pct,12.0%
english_token_share_pct,84.0%
hindi_token_share_pct,4.0%
label_source_model_predicted_count,20765
label_source_model_predicted_pct,97.22%
label_source_llm_annotated_count,594
label_source_llm_annotated_pct,2.78%
