rank,word,frequency,mbert_pieces,muril_pieces,log2_freq,combined_score,mbert_tokenization
1,જયદીપભાઈ,19,7,3,4.248,29.735,જ | ##ય | ##દી | ##પ | ##ભ | ##ા | ##ઈ
2,એપિસોડ,31,6,3,4.954,29.725,એ | ##પ | ##િ | ##સ | ##ો | ##ડ
3,તમારા,141,4,1,7.14,28.558,ત | ##મ | ##ાર | ##ા
4,અભિનંદન,13,7,4,3.7,25.903,અ | ##ભ | ##િ | ##ન | ##ં | ##દ | ##ન
5,જયદીપ,69,4,2,6.109,24.434,જ | ##ય | ##દી | ##પ
6,સારિકા,57,4,2,5.833,23.332,સ | ##ાર | ##િક | ##ા
7,આશીર્વાદ,10,7,1,3.322,23.253,આ | ##શ | ##ી | ##ર | ##્વ | ##ા | ##દ
8,જોરદાર,25,5,1,4.644,23.219,જ | ##ો | ##ર | ##દા | ##ર
9,ભાવના,51,4,1,5.672,22.69,ભ | ##ા | ##વ | ##ના
10,ભાઈ,176,3,1,7.459,22.378,ભ | ##ા | ##ઈ
11,વિડિઓ,22,5,1,4.459,22.297,વ | ##િ | ##ડ | ##િ | ##ઓ
12,હાર્દિક,20,5,1,4.322,21.61,હ | ##ાર | ##્ | ##દ | ##િક
13,ફેમિલી,19,5,3,4.248,21.24,ફ | ##ે | ##મ | ##િ | ##લી
14,સંધ્યા,39,4,3,5.285,21.142,સ | ##ં | ##ધ | ##્યા
15,તમે,132,3,1,7.044,21.133,ત | ##મ | ##ે
16,બોલાવો,37,4,2,5.209,20.838,બ | ##ો | ##લા | ##વો
17,અદ્ભુત,11,6,3,3.459,20.757,અ | ##દ | ##્ | ##ભ | ##ુ | ##ત
18,ખૂબ,115,3,1,6.845,20.536,ખ | ##ૂ | ##બ
19,સરસ,101,3,1,6.658,19.975,સ | ##ર | ##સ
20,કૃષ્ણ,31,4,1,4.954,19.817,ક | ##ૃ | ##ષ | ##્ણ
21,કોમેડી,15,5,1,3.907,19.534,ક | ##ો | ##મ | ##ે | ##ડી
22,લવારી,86,3,2,6.426,19.279,લ | ##વાર | ##ી
23,હંમેશા,14,5,1,3.807,19.037,હ | ##ં | ##મ | ##ેશ | ##ા
24,કોમેન્ટ,14,5,2,3.807,19.037,ક | ##ો | ##મ | ##ે | ##ન્ટ
25,બહુ,79,3,1,6.304,18.911,બ | ##હ | ##ુ
26,શબ્દો,13,5,1,3.7,18.502,શ | ##બ | ##્ | ##દ | ##ો
27,બધા,71,3,1,6.15,18.449,બ | ##ધ | ##ા
28,એટલે,66,3,1,6.044,18.133,એ | ##ટ | ##લે
29,don’t,63,3,3,5.977,17.932,don | [UNK] | t
30,મોગલ,22,4,1,4.459,17.838,મ | ##ો | ##ગ | ##લ
31,સુંદર,22,4,1,4.459,17.838,સ | ##ું | ##દ | ##ર
32,ખુબ,59,3,1,5.883,17.648,ખ | ##ુ | ##બ
33,બ્લોગ,21,4,1,4.392,17.569,બ | ##્ | ##લો | ##ગ
34,લાગે,55,3,1,5.781,17.344,લ | ##ાગ | ##ે
35,રેસિપી,11,5,3,3.459,17.297,ર | ##ે | ##સ | ##િ | ##પી
36,વિડીયો,20,4,1,4.322,17.288,વ | ##િ | ##ડી | ##યો
37,તમારી,52,3,1,5.7,17.101,ત | ##મ | ##ારી
38,મારા,52,3,1,5.7,17.101,મ | ##ાર | ##ા
39,ખરેખર,19,4,1,4.248,16.992,ખ | ##રે | ##ખ | ##ર
40,સાચી,19,4,1,4.248,16.992,સ | ##ા | ##ચ | ##ી
41,પ્રેમ,18,4,1,4.17,16.68,પ | ##્ર | ##ે | ##મ
42,વાહ,44,3,2,5.459,16.378,વ | ##ા | ##હ
43,અમારા,17,4,1,4.087,16.35,અ | ##મ | ##ાર | ##ા
44,કહેવાય,17,4,1,4.087,16.35,ક | ##હે | ##વા | ##ય
45,ગીત,43,3,1,5.426,16.279,ગ | ##ી | ##ત
46,અમે,43,3,1,5.426,16.279,અ | ##મ | ##ે
47,મસ્ત,43,3,2,5.426,16.279,મ | ##સ | ##્ત
48,તમને,41,3,1,5.358,16.073,ત | ##મ | ##ને
49,મહેનત,16,4,1,4.0,16.0,મ | ##હે | ##ન | ##ત
50,તમારું,16,4,2,4.0,16.0,ત | ##મ | ##ાર | ##ું
51,ભગવાન,15,4,1,3.907,15.628,ભ | ##ગ | ##વા | ##ન
52,રેસીપી,15,4,3,3.907,15.628,ર | ##ે | ##સી | ##પી
53,અવાજ,35,3,1,5.129,15.388,અ | ##વા | ##જ
54,it’s,34,3,3,5.087,15.262,it | [UNK] | s
55,માસી,33,3,2,5.044,15.133,મ | ##ાસ | ##ી
56,સારા,32,3,1,5.0,15.0,સ | ##ાર | ##ા
57,તમારો,32,3,1,5.0,15.0,ત | ##મ | ##ારો
58,મેં,31,3,1,4.954,14.863,મ | ##ે | ##ં
59,ચાલુ,13,4,1,3.7,14.802,ચ | ##ા | ##લ | ##ુ
60,માતાજી,13,4,1,3.7,14.802,મ | ##ાત | ##ા | ##જી
61,રાખે,13,4,1,3.7,14.802,ર | ##ા | ##ખ | ##ે
62,સાહેબ,13,4,1,3.7,14.802,સ | ##ા | ##હે | ##બ
63,આજે,28,3,1,4.807,14.422,આ | ##જ | ##ે
64,પાણી,28,3,1,4.807,14.422,પ | ##ાણ | ##ી
65,કંઈક,12,4,1,3.585,14.34,ક | ##ં | ##ઈ | ##ક
66,મમ્મી,12,4,2,3.585,14.34,મ | ##મ | ##્મ | ##ી
67,વાલીડા,12,4,3,3.585,14.34,વ | ##ા | ##લી | ##ડા
68,ખુબજ,12,4,1,3.585,14.34,ખ | ##ુ | ##બ | ##જ
69,ભાષા,12,4,1,3.585,14.34,ભ | ##ા | ##ષ | ##ા
70,જલ્દી,12,4,1,3.585,14.34,જ | ##લ | ##્ | ##દી
71,રાખો,12,4,1,3.585,14.34,ર | ##ા | ##ખ | ##ો
72,અલગ,27,3,1,4.755,14.265,અ | ##લ | ##ગ
73,વધારે,27,3,1,4.755,14.265,વ | ##ધ | ##ારે
74,જોવાની,27,3,2,4.755,14.265,જ | ##ોવા | ##ની
75,I’m,26,3,3,4.7,14.101,I | [UNK] | m
